date,region,subregion,cases,deaths
2020-03-29,Centre,TOS,305,17
2020-03-29,Centre,UMB,54,3
2020-03-29,Centre,LAZ,201,12
2020-03-29,South,ABR,160,12
2020-03-29,South,MOL,4,0
2020-03-29,South,CAM,167,8
2020-03-29,South,BAS,20,1
2020-03-29,South,PUG,91,15
2020-03-29,South,CAL,59,4
2020-03-29,Islands,SIC,101,8
2020-03-29,Islands,SAR,14,1
2020-03-30,North-West,VDA,0,7
2020-03-30,North-West,LIG,141,20
2020-03-30,North-West,PIE,506,65
2020-03-30,North-West,LOM,1154,458
2020-03-30,North-East,VEN,366,21
2020-03-30,North-East,TN,88,18
2020-03-30,North-East,BZ,111,10
2020-03-30,North-East,FVG,21,9
2020-03-30,North-East,EMR,412,95
2020-03-30,Centre,MAR,126,31
2020-03-30,Centre,TOS,290,16
2020-03-30,Centre,UMB,28,2
2020-03-30,Centre,LAZ,208,14
2020-03-30,South,ABR,52,14
2020-03-30,South,MOL,7,0
2020-03-30,South,CAM,193,8
2020-03-30,South,BAS,12,1
2020-03-30,South,PUG,163,5
2020-03-30,South,CAL,33,6
2020-03-30,Islands,SIC,95,11
2020-03-30,Islands,SAR,44,1
2020-03-31,North-West,VDA,44,6
2020-03-31,North-West,LIG,199,31
2020-03-31,North-West,PIE,589,105
2020-03-31,North-West,LOM,1047,381
2020-03-31,North-East,VEN,431,64
2020-03-31,North-East,TN,64,17
2020-03-31,North-East,BZ,46,2
2020-03-31,North-East,FVG,92,6
2020-03-31,North-East,EMR,543,106
2020-03-31,Centre,MAR,141,35
2020-03-31,Centre,TOS,196,13
2020-03-31,Centre,UMB,27,4
2020-03-31,Centre,LAZ,181,12
2020-03-31,South,ABR,56,13
2020-03-31,South,MOL,10,0
2020-03-31,South,CAM,140,8
2020-03-31,South,BAS,12,2
2020-03-31,South,PUG,91,19
2020-03-31,South,CAL,12,5
2020-03-31,Islands,SIC,92,5
2020-03-31,Islands,SAR,40,3
2020-04-01,North-West,VDA,3,3
2020-04-01,North-West,LIG,244,32
2020-04-01,North-West,PIE,494,32
2020-04-01,North-West,LOM,1565,394
2020-04-01,North-East,VEN,470,22
2020-04-01,North-East,TN,124,9
2020-04-01,North-East,BZ,47,40
2020-04-01,North-East,FVG,92,9
2020-04-01,North-East,EMR,713,88
2020-04-01,Centre,MAR,137,25
2020-04-01,Centre,TOS,259,9
2020-04-01,Centre,UMB,17,0
2020-04-01,Centre,LAZ,169,7
2020-04-01,South,ABR,35,8
2020-04-01,South,MOL,16,1
2020-04-01,South,CAM,139,15
2020-04-01,South,BAS,11,2
2020-04-01,South,PUG,143,19
2020-04-01,South,CAL,10,2
2020-04-01,Islands,SIC,71,7
2020-04-01,Islands,SAR,23,3
2020-04-02,North-West,VDA,37,4
2020-04-02,North-West,LIG,122,28
2020-04-02,North-West,PIE,558,97
2020-04-02,North-West,LOM,1292,367
2020-04-02,North-East,VEN,486,33
2020-04-02,North-East,TN,133,14
2020-04-02,North-East,BZ,61,13
2020-04-02,North-East,FVG,114,7
2020-04-02,North-East,EMR,546,79
